Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G767""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H767""))>0,0),""Mac Pass"",""Mac Fail"")",,Hide e-mail address,Business Edition feature ,,,
Designer Edition Features,,,,,,,
Nesting,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G770""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H770""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Selected Shape as Boundary,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G771""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H771""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Cut Area,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G772""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H772""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Selected,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G773""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H773""))>0,0),""Mac Pass"",""Mac Fail"")",,Align,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G774""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H774""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotations,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G775""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H775""))>0,0),""Mac Pass"",""Mac Fail"")",,Padding,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G776""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H776""))>0,0),""Mac Pass"",""Mac Fail"")",,Nesting,,,,
Sketch,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G778""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H778""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Sketch,,,,
Edge Sketch,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G780""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H780""))>0,0),""Mac Pass"",""Mac Fail"")",,None,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G781""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H781""))>0,0),""Mac Pass"",""Mac Fail"")",,Plain,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G782""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H782""))>0,0),""Mac Pass"",""Mac Fail"")",,Continuous,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G783""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H783""))>0,0),""Mac Pass"",""Mac Fail"")",,Scribble,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G784""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H784""))>0,0),""Mac Pass"",""Mac Fail"")",,Pen,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G785""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H785""))>0,0),""Mac Pass"",""Mac Fail"")",,Pencil,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G786""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H786""))>0,0),""Mac Pass"",""Mac Fail"")",,Charcoal,,,,
Fill Sketch,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G788""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H788""))>0,0),""Mac Pass"",""Mac Fail"")",,None,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G789""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H789""))>0,0),""Mac Pass"",""Mac Fail"")",,Cross Hatch,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G790""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H790""))>0,0),""Mac Pass"",""Mac Fail"")",,Diamond Hatch,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G791""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H791""))>0,0),""Mac Pass"",""Mac Fail"")",,Grill,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G792""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H792""))>0,0),""Mac Pass"",""Mac Fail"")",,Scribble,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G793""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H793""))>0,0),""Mac Pass"",""Mac Fail"")",,Zig Zag,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G794""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H794""))>0,0),""Mac Pass"",""Mac Fail"")",,Pencil,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G795""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H795""))>0,0),""Mac Pass"",""Mac Fail"")",,Charcoal,,,,
Edge Effect,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G797""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H797""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge Effect Plain,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G798""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H798""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge Effect Continuous,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G799""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H799""))>0,0),""Mac Pass"",""Mac Fail"")",,Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G800""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H800""))>0,0),""Mac Pass"",""Mac Fail"")",,Density (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G801""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H801""))>0,0),""Mac Pass"",""Mac Fail"")",,Waver (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G802""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H802""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge Effect Rough,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G803""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H803""))>0,0),""Mac Pass"",""Mac Fail"")",,Stroke Length (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G804""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H804""))>0,0),""Mac Pass"",""Mac Fail"")",,Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G805""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H805""))>0,0),""Mac Pass"",""Mac Fail"")",,Density (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G806""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H806""))>0,0),""Mac Pass"",""Mac Fail"")",,Splay (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G807""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H807""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge Effect Scribble,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G808""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H808""))>0,0),""Mac Pass"",""Mac Fail"")",,Loop Seperation (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G809""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H809""))>0,0),""Mac Pass"",""Mac Fail"")",,Loop Size (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G810""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H810""))>0,0),""Mac Pass"",""Mac Fail"")",,Randomness (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G811""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H811""))>0,0),""Mac Pass"",""Mac Fail"")",,Density (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G812""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H812""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge Effect Off,,,,
Fill Type,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G814""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H814""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Type Zig Zag,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G815""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H815""))>0,0),""Mac Pass"",""Mac Fail"")",,Spacing (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G816""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H816""))>0,0),""Mac Pass"",""Mac Fail"")",,Angle (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G817""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H817""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G818""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H818""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Type Hatch,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G819""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H819""))>0,0),""Mac Pass"",""Mac Fail"")",,Spacing (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G820""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H820""))>0,0),""Mac Pass"",""Mac Fail"")",,Angle (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G821""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H821""))>0,0),""Mac Pass"",""Mac Fail"")",,Sweep (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G822""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H822""))>0,0),""Mac Pass"",""Mac Fail"")",,Offset (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G823""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H823""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Type Off,,,,
Fill Effect,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G825""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H825""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Effect Rough,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G826""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H826""))>0,0),""Mac Pass"",""Mac Fail"")",,Stroke Length (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G827""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H827""))>0,0),""Mac Pass"",""Mac Fail"")",,Width (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G828""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H828""))>0,0),""Mac Pass"",""Mac Fail"")",,Density (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G829""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H829""))>0,0),""Mac Pass"",""Mac Fail"")",,Splay (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G830""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H830""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Effect Scribble,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G831""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H831""))>0,0),""Mac Pass"",""Mac Fail"")",,Loop Seperation (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G832""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H832""))>0,0),""Mac Pass"",""Mac Fail"")",,Loop Size (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G833""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H833""))>0,0),""Mac Pass"",""Mac Fail"")",,Randomness (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G834""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H834""))>0,0),""Mac Pass"",""Mac Fail"")",,Density (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G835""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H835""))>0,0),""Mac Pass"",""Mac Fail"")",,Fill Effect Off,,,,
Rhinestones,,,,,,,
Basic Rhinestones,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G838""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H838""))>0,0),""Mac Pass"",""Mac Fail"")",,None,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G839""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H839""))>0,0),""Mac Pass"",""Mac Fail"")",,Edge,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G840""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H840""))>0,0),""Mac Pass"",""Mac Fail"")",,Linear Fill,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G841""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H841""))>0,0),""Mac Pass"",""Mac Fail"")",,Radial Fill,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G842""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H842""))>0,0),""Mac Pass"",""Mac Fail"")",,6ss,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G843""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H843""))>0,0),""Mac Pass"",""Mac Fail"")",,10ss,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G844""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H844""))>0,0),""Mac Pass"",""Mac Fail"")",,16ss,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G845""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H845""))>0,0),""Mac Pass"",""Mac Fail"")",,20ss,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G846""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H846""))>0,0),""Mac Pass"",""Mac Fail"")",,Rhinestone Spacing (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G847""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H847""))>0,0),""Mac Pass"",""Mac Fail"")",,Freehand Rhinestones,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G848""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H848""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Rhinestones,,,,
Advanced Rhinestones,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G850""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H850""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Rhinestone from Rhinestone Library,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G851""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H851""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply to Edge,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G852""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H852""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Interior (Radial),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G853""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H853""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Interior (Linear),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G854""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H854""))>0,0),""Mac Pass"",""Mac Fail"")",,Spacing (3 imputs),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G855""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H855""))>0,0),""Mac Pass"",""Mac Fail"")",,Angle offset (3 imputs),Designer Edition Plus and above. Requires non round rhinestones.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G856""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H856""))>0,0),""Mac Pass"",""Mac Fail"")",,Single,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G857""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H857""))>0,0),""Mac Pass"",""Mac Fail"")",,Muiltiple,Designer Edition Plus and above.,,,
Muiltiple Rhinestone Ordering ,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G859""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H859""))>0,0),""Mac Pass"",""Mac Fail"")",,Add Selected Rhinestone to the sequence,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G860""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H860""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete Selected Rhinestone from the sequence,Designer Edition Plus and above.,,,
Angle,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G862""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H862""))>0,0),""Mac Pass"",""Mac Fail"")",,Standard (Upright rhinestones),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G863""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H863""))>0,0),""Mac Pass"",""Mac Fail"")",,Center (rhinestones point to Center),Designer Edition Plus and above. Requires non round rhinestones.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G864""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H864""))>0,0),""Mac Pass"",""Mac Fail"")",,Perpendicular (rhinestones align to contour),Designer Edition Plus and above. Requires non round rhinestones.,,,
Custom Rhinestones,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G866""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H866""))>0,0),""Mac Pass"",""Mac Fail"")",,Add Selected Shape to Rhinestone Library,"Designer Edition Plus and above. Shape must be 0.472"" x 0.472"" or less.",,,
"=if(IFERROR(search(""Success"",INDIRECT(""G867""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H867""))>0,0),""Mac Pass"",""Mac Fail"")",,Remove Custom from Rihinestone Library,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G868""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H868""))>0,0),""Mac Pass"",""Mac Fail"")",,Width,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G869""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H869""))>0,0),""Mac Pass"",""Mac Fail"")",,Hight,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G870""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H870""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply User Rhinestone to Edge,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G871""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H871""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply User Rhinestone to Interior (Radial),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G872""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H872""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply User Rhinestone Interior (Linear),Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G873""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H873""))>0,0),""Mac Pass"",""Mac Fail"")",,Single Click User Rhinestones,Designer Edition Plus and above.,,,
Draw Advanced Rhinestones,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G875""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H875""))>0,0),""Mac Pass"",""Mac Fail"")",,Single Click,Designer Edition Plus and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G876""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H876""))>0,0),""Mac Pass"",""Mac Fail"")",,Replace Rhinestones,Designer Edition Plus and above.,,,
Layers,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G878""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H878""))>0,0),""Mac Pass"",""Mac Fail"")",,Add a layer,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G879""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H879""))>0,0),""Mac Pass"",""Mac Fail"")",,Reorder layers,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G880""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H880""))>0,0),""Mac Pass"",""Mac Fail"")",,Rename layer,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G881""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H881""))>0,0),""Mac Pass"",""Mac Fail"")",,Lock layer,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G882""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H882""))>0,0),""Mac Pass"",""Mac Fail"")",,Hide layer,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G883""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H883""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete layer,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G884""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H884""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut by Layer,,,,
Puzzle,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G886""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H886""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Puzzle Area,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G887""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H887""))>0,0),""Mac Pass"",""Mac Fail"")",,Puzzle Selected Shape,,,,
Puzzle Layout,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G889""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H889""))>0,0),""Mac Pass"",""Mac Fail"")",,Rows (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G890""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H890""))>0,0),""Mac Pass"",""Mac Fail"")",,Columns (3 inputs),,,,
Puzzle Settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G892""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H892""))>0,0),""Mac Pass"",""Mac Fail"")",,Curvature,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G893""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H893""))>0,0),""Mac Pass"",""Mac Fail"")",,Curve (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G894""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H894""))>0,0),""Mac Pass"",""Mac Fail"")",,Ripple (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G895""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H895""))>0,0),""Mac Pass"",""Mac Fail"")",,Wobble (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G896""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H896""))>0,0),""Mac Pass"",""Mac Fail"")",,Randomize Selected Puzzle,,,,
Warp,,,,,,,
General Warp,,,,,,,
