Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B816"")=True,""Pass"",INDIRECT(""Setup!C816"")=True,""Fail"",INDIRECT(""Setup!D816"")=True,""N/A"",INDIRECT(""Setup!E816"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F816"")=True,""Pass"",INDIRECT(""Setup!G816"")=True,""Fail"",INDIRECT(""Setup!H816"")=True,""N/A"",INDIRECT(""Setup!I816"")=True,""Retest"")",Spacing (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B817"")=True,""Pass"",INDIRECT(""Setup!C817"")=True,""Fail"",INDIRECT(""Setup!D817"")=True,""N/A"",INDIRECT(""Setup!E817"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F817"")=True,""Pass"",INDIRECT(""Setup!G817"")=True,""Fail"",INDIRECT(""Setup!H817"")=True,""N/A"",INDIRECT(""Setup!I817"")=True,""Retest"")",Angle (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B818"")=True,""Pass"",INDIRECT(""Setup!C818"")=True,""Fail"",INDIRECT(""Setup!D818"")=True,""N/A"",INDIRECT(""Setup!E818"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F818"")=True,""Pass"",INDIRECT(""Setup!G818"")=True,""Fail"",INDIRECT(""Setup!H818"")=True,""N/A"",INDIRECT(""Setup!I818"")=True,""Retest"")",Offset (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B819"")=True,""Pass"",INDIRECT(""Setup!C819"")=True,""Fail"",INDIRECT(""Setup!D819"")=True,""N/A"",INDIRECT(""Setup!E819"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F819"")=True,""Pass"",INDIRECT(""Setup!G819"")=True,""Fail"",INDIRECT(""Setup!H819"")=True,""N/A"",INDIRECT(""Setup!I819"")=True,""Retest"")",Fill Type Hatch,,,,
3,"=IFS(INDIRECT(""Setup!B820"")=True,""Pass"",INDIRECT(""Setup!C820"")=True,""Fail"",INDIRECT(""Setup!D820"")=True,""N/A"",INDIRECT(""Setup!E820"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F820"")=True,""Pass"",INDIRECT(""Setup!G820"")=True,""Fail"",INDIRECT(""Setup!H820"")=True,""N/A"",INDIRECT(""Setup!I820"")=True,""Retest"")",Spacing (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B821"")=True,""Pass"",INDIRECT(""Setup!C821"")=True,""Fail"",INDIRECT(""Setup!D821"")=True,""N/A"",INDIRECT(""Setup!E821"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F821"")=True,""Pass"",INDIRECT(""Setup!G821"")=True,""Fail"",INDIRECT(""Setup!H821"")=True,""N/A"",INDIRECT(""Setup!I821"")=True,""Retest"")",Angle (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B822"")=True,""Pass"",INDIRECT(""Setup!C822"")=True,""Fail"",INDIRECT(""Setup!D822"")=True,""N/A"",INDIRECT(""Setup!E822"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F822"")=True,""Pass"",INDIRECT(""Setup!G822"")=True,""Fail"",INDIRECT(""Setup!H822"")=True,""N/A"",INDIRECT(""Setup!I822"")=True,""Retest"")",Sweep (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B823"")=True,""Pass"",INDIRECT(""Setup!C823"")=True,""Fail"",INDIRECT(""Setup!D823"")=True,""N/A"",INDIRECT(""Setup!E823"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F823"")=True,""Pass"",INDIRECT(""Setup!G823"")=True,""Fail"",INDIRECT(""Setup!H823"")=True,""N/A"",INDIRECT(""Setup!I823"")=True,""Retest"")",Offset (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B824"")=True,""Pass"",INDIRECT(""Setup!C824"")=True,""Fail"",INDIRECT(""Setup!D824"")=True,""N/A"",INDIRECT(""Setup!E824"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F824"")=True,""Pass"",INDIRECT(""Setup!G824"")=True,""Fail"",INDIRECT(""Setup!H824"")=True,""N/A"",INDIRECT(""Setup!I824"")=True,""Retest"")",Fill Type Off,,,,
,Fill Effect,,,,,,
3,"=IFS(INDIRECT(""Setup!B826"")=True,""Pass"",INDIRECT(""Setup!C826"")=True,""Fail"",INDIRECT(""Setup!D826"")=True,""N/A"",INDIRECT(""Setup!E826"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F826"")=True,""Pass"",INDIRECT(""Setup!G826"")=True,""Fail"",INDIRECT(""Setup!H826"")=True,""N/A"",INDIRECT(""Setup!I826"")=True,""Retest"")",Fill Effect Rough,,,,
3,"=IFS(INDIRECT(""Setup!B827"")=True,""Pass"",INDIRECT(""Setup!C827"")=True,""Fail"",INDIRECT(""Setup!D827"")=True,""N/A"",INDIRECT(""Setup!E827"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F827"")=True,""Pass"",INDIRECT(""Setup!G827"")=True,""Fail"",INDIRECT(""Setup!H827"")=True,""N/A"",INDIRECT(""Setup!I827"")=True,""Retest"")",Stroke Length (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B828"")=True,""Pass"",INDIRECT(""Setup!C828"")=True,""Fail"",INDIRECT(""Setup!D828"")=True,""N/A"",INDIRECT(""Setup!E828"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F828"")=True,""Pass"",INDIRECT(""Setup!G828"")=True,""Fail"",INDIRECT(""Setup!H828"")=True,""N/A"",INDIRECT(""Setup!I828"")=True,""Retest"")",Width (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B829"")=True,""Pass"",INDIRECT(""Setup!C829"")=True,""Fail"",INDIRECT(""Setup!D829"")=True,""N/A"",INDIRECT(""Setup!E829"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F829"")=True,""Pass"",INDIRECT(""Setup!G829"")=True,""Fail"",INDIRECT(""Setup!H829"")=True,""N/A"",INDIRECT(""Setup!I829"")=True,""Retest"")",Density (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B830"")=True,""Pass"",INDIRECT(""Setup!C830"")=True,""Fail"",INDIRECT(""Setup!D830"")=True,""N/A"",INDIRECT(""Setup!E830"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F830"")=True,""Pass"",INDIRECT(""Setup!G830"")=True,""Fail"",INDIRECT(""Setup!H830"")=True,""N/A"",INDIRECT(""Setup!I830"")=True,""Retest"")",Splay (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B831"")=True,""Pass"",INDIRECT(""Setup!C831"")=True,""Fail"",INDIRECT(""Setup!D831"")=True,""N/A"",INDIRECT(""Setup!E831"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F831"")=True,""Pass"",INDIRECT(""Setup!G831"")=True,""Fail"",INDIRECT(""Setup!H831"")=True,""N/A"",INDIRECT(""Setup!I831"")=True,""Retest"")",Fill Effect Scribble,,,,
3,"=IFS(INDIRECT(""Setup!B832"")=True,""Pass"",INDIRECT(""Setup!C832"")=True,""Fail"",INDIRECT(""Setup!D832"")=True,""N/A"",INDIRECT(""Setup!E832"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F832"")=True,""Pass"",INDIRECT(""Setup!G832"")=True,""Fail"",INDIRECT(""Setup!H832"")=True,""N/A"",INDIRECT(""Setup!I832"")=True,""Retest"")",Loop Seperation (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B833"")=True,""Pass"",INDIRECT(""Setup!C833"")=True,""Fail"",INDIRECT(""Setup!D833"")=True,""N/A"",INDIRECT(""Setup!E833"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F833"")=True,""Pass"",INDIRECT(""Setup!G833"")=True,""Fail"",INDIRECT(""Setup!H833"")=True,""N/A"",INDIRECT(""Setup!I833"")=True,""Retest"")",Loop Size (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B834"")=True,""Pass"",INDIRECT(""Setup!C834"")=True,""Fail"",INDIRECT(""Setup!D834"")=True,""N/A"",INDIRECT(""Setup!E834"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F834"")=True,""Pass"",INDIRECT(""Setup!G834"")=True,""Fail"",INDIRECT(""Setup!H834"")=True,""N/A"",INDIRECT(""Setup!I834"")=True,""Retest"")",Randomness (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B835"")=True,""Pass"",INDIRECT(""Setup!C835"")=True,""Fail"",INDIRECT(""Setup!D835"")=True,""N/A"",INDIRECT(""Setup!E835"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F835"")=True,""Pass"",INDIRECT(""Setup!G835"")=True,""Fail"",INDIRECT(""Setup!H835"")=True,""N/A"",INDIRECT(""Setup!I835"")=True,""Retest"")",Density (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B836"")=True,""Pass"",INDIRECT(""Setup!C836"")=True,""Fail"",INDIRECT(""Setup!D836"")=True,""N/A"",INDIRECT(""Setup!E836"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F836"")=True,""Pass"",INDIRECT(""Setup!G836"")=True,""Fail"",INDIRECT(""Setup!H836"")=True,""N/A"",INDIRECT(""Setup!I836"")=True,""Retest"")",Fill Effect Off,,,,
,Rhinestones,,,,,,
,Basic Rhinestones,,,,,,
3,"=IFS(INDIRECT(""Setup!B839"")=True,""Pass"",INDIRECT(""Setup!C839"")=True,""Fail"",INDIRECT(""Setup!D839"")=True,""N/A"",INDIRECT(""Setup!E839"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F839"")=True,""Pass"",INDIRECT(""Setup!G839"")=True,""Fail"",INDIRECT(""Setup!H839"")=True,""N/A"",INDIRECT(""Setup!I839"")=True,""Retest"")",None,,,,
3,"=IFS(INDIRECT(""Setup!B840"")=True,""Pass"",INDIRECT(""Setup!C840"")=True,""Fail"",INDIRECT(""Setup!D840"")=True,""N/A"",INDIRECT(""Setup!E840"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F840"")=True,""Pass"",INDIRECT(""Setup!G840"")=True,""Fail"",INDIRECT(""Setup!H840"")=True,""N/A"",INDIRECT(""Setup!I840"")=True,""Retest"")",Edge,,,,
3,"=IFS(INDIRECT(""Setup!B841"")=True,""Pass"",INDIRECT(""Setup!C841"")=True,""Fail"",INDIRECT(""Setup!D841"")=True,""N/A"",INDIRECT(""Setup!E841"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F841"")=True,""Pass"",INDIRECT(""Setup!G841"")=True,""Fail"",INDIRECT(""Setup!H841"")=True,""N/A"",INDIRECT(""Setup!I841"")=True,""Retest"")",Linear Fill,,,,
3,"=IFS(INDIRECT(""Setup!B842"")=True,""Pass"",INDIRECT(""Setup!C842"")=True,""Fail"",INDIRECT(""Setup!D842"")=True,""N/A"",INDIRECT(""Setup!E842"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F842"")=True,""Pass"",INDIRECT(""Setup!G842"")=True,""Fail"",INDIRECT(""Setup!H842"")=True,""N/A"",INDIRECT(""Setup!I842"")=True,""Retest"")",Radial Fill,,,,
3,"=IFS(INDIRECT(""Setup!B843"")=True,""Pass"",INDIRECT(""Setup!C843"")=True,""Fail"",INDIRECT(""Setup!D843"")=True,""N/A"",INDIRECT(""Setup!E843"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F843"")=True,""Pass"",INDIRECT(""Setup!G843"")=True,""Fail"",INDIRECT(""Setup!H843"")=True,""N/A"",INDIRECT(""Setup!I843"")=True,""Retest"")",6ss,,,,
3,"=IFS(INDIRECT(""Setup!B844"")=True,""Pass"",INDIRECT(""Setup!C844"")=True,""Fail"",INDIRECT(""Setup!D844"")=True,""N/A"",INDIRECT(""Setup!E844"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F844"")=True,""Pass"",INDIRECT(""Setup!G844"")=True,""Fail"",INDIRECT(""Setup!H844"")=True,""N/A"",INDIRECT(""Setup!I844"")=True,""Retest"")",10ss,,,,
3,"=IFS(INDIRECT(""Setup!B845"")=True,""Pass"",INDIRECT(""Setup!C845"")=True,""Fail"",INDIRECT(""Setup!D845"")=True,""N/A"",INDIRECT(""Setup!E845"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F845"")=True,""Pass"",INDIRECT(""Setup!G845"")=True,""Fail"",INDIRECT(""Setup!H845"")=True,""N/A"",INDIRECT(""Setup!I845"")=True,""Retest"")",16ss,,,,
3,"=IFS(INDIRECT(""Setup!B846"")=True,""Pass"",INDIRECT(""Setup!C846"")=True,""Fail"",INDIRECT(""Setup!D846"")=True,""N/A"",INDIRECT(""Setup!E846"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F846"")=True,""Pass"",INDIRECT(""Setup!G846"")=True,""Fail"",INDIRECT(""Setup!H846"")=True,""N/A"",INDIRECT(""Setup!I846"")=True,""Retest"")",20ss,,,,
3,"=IFS(INDIRECT(""Setup!B847"")=True,""Pass"",INDIRECT(""Setup!C847"")=True,""Fail"",INDIRECT(""Setup!D847"")=True,""N/A"",INDIRECT(""Setup!E847"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F847"")=True,""Pass"",INDIRECT(""Setup!G847"")=True,""Fail"",INDIRECT(""Setup!H847"")=True,""N/A"",INDIRECT(""Setup!I847"")=True,""Retest"")",Rhinestone Spacing (3 inputs),,,,
3,"=IFS(INDIRECT(""Setup!B848"")=True,""Pass"",INDIRECT(""Setup!C848"")=True,""Fail"",INDIRECT(""Setup!D848"")=True,""N/A"",INDIRECT(""Setup!E848"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F848"")=True,""Pass"",INDIRECT(""Setup!G848"")=True,""Fail"",INDIRECT(""Setup!H848"")=True,""N/A"",INDIRECT(""Setup!I848"")=True,""Retest"")",Freehand Rhinestones,,,,
3,"=IFS(INDIRECT(""Setup!B849"")=True,""Pass"",INDIRECT(""Setup!C849"")=True,""Fail"",INDIRECT(""Setup!D849"")=True,""N/A"",INDIRECT(""Setup!E849"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F849"")=True,""Pass"",INDIRECT(""Setup!G849"")=True,""Fail"",INDIRECT(""Setup!H849"")=True,""N/A"",INDIRECT(""Setup!I849"")=True,""Retest"")",Release Rhinestones,,,,
,Advanced Rhinestones,,,,,,
3,"=IFS(INDIRECT(""Setup!B851"")=True,""Pass"",INDIRECT(""Setup!C851"")=True,""Fail"",INDIRECT(""Setup!D851"")=True,""N/A"",INDIRECT(""Setup!E851"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F851"")=True,""Pass"",INDIRECT(""Setup!G851"")=True,""Fail"",INDIRECT(""Setup!H851"")=True,""N/A"",INDIRECT(""Setup!I851"")=True,""Retest"")",Select Rhinestone from Rhinestone Library,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B852"")=True,""Pass"",INDIRECT(""Setup!C852"")=True,""Fail"",INDIRECT(""Setup!D852"")=True,""N/A"",INDIRECT(""Setup!E852"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F852"")=True,""Pass"",INDIRECT(""Setup!G852"")=True,""Fail"",INDIRECT(""Setup!H852"")=True,""N/A"",INDIRECT(""Setup!I852"")=True,""Retest"")",Apply to Edge,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B853"")=True,""Pass"",INDIRECT(""Setup!C853"")=True,""Fail"",INDIRECT(""Setup!D853"")=True,""N/A"",INDIRECT(""Setup!E853"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F853"")=True,""Pass"",INDIRECT(""Setup!G853"")=True,""Fail"",INDIRECT(""Setup!H853"")=True,""N/A"",INDIRECT(""Setup!I853"")=True,""Retest"")",Apply Interior (Radial),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B854"")=True,""Pass"",INDIRECT(""Setup!C854"")=True,""Fail"",INDIRECT(""Setup!D854"")=True,""N/A"",INDIRECT(""Setup!E854"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F854"")=True,""Pass"",INDIRECT(""Setup!G854"")=True,""Fail"",INDIRECT(""Setup!H854"")=True,""N/A"",INDIRECT(""Setup!I854"")=True,""Retest"")",Apply Interior (Linear),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B855"")=True,""Pass"",INDIRECT(""Setup!C855"")=True,""Fail"",INDIRECT(""Setup!D855"")=True,""N/A"",INDIRECT(""Setup!E855"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F855"")=True,""Pass"",INDIRECT(""Setup!G855"")=True,""Fail"",INDIRECT(""Setup!H855"")=True,""N/A"",INDIRECT(""Setup!I855"")=True,""Retest"")",Spacing (3 imputs),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B856"")=True,""Pass"",INDIRECT(""Setup!C856"")=True,""Fail"",INDIRECT(""Setup!D856"")=True,""N/A"",INDIRECT(""Setup!E856"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F856"")=True,""Pass"",INDIRECT(""Setup!G856"")=True,""Fail"",INDIRECT(""Setup!H856"")=True,""N/A"",INDIRECT(""Setup!I856"")=True,""Retest"")",Angle offset (3 imputs),Designer Edition Plus and above. Requires non round rhinestones.,,,
3,"=IFS(INDIRECT(""Setup!B857"")=True,""Pass"",INDIRECT(""Setup!C857"")=True,""Fail"",INDIRECT(""Setup!D857"")=True,""N/A"",INDIRECT(""Setup!E857"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F857"")=True,""Pass"",INDIRECT(""Setup!G857"")=True,""Fail"",INDIRECT(""Setup!H857"")=True,""N/A"",INDIRECT(""Setup!I857"")=True,""Retest"")",Single,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B858"")=True,""Pass"",INDIRECT(""Setup!C858"")=True,""Fail"",INDIRECT(""Setup!D858"")=True,""N/A"",INDIRECT(""Setup!E858"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F858"")=True,""Pass"",INDIRECT(""Setup!G858"")=True,""Fail"",INDIRECT(""Setup!H858"")=True,""N/A"",INDIRECT(""Setup!I858"")=True,""Retest"")",Muiltiple,Designer Edition Plus and above.,,,
,Muiltiple Rhinestone Ordering,,,,,,
3,"=IFS(INDIRECT(""Setup!B860"")=True,""Pass"",INDIRECT(""Setup!C860"")=True,""Fail"",INDIRECT(""Setup!D860"")=True,""N/A"",INDIRECT(""Setup!E860"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F860"")=True,""Pass"",INDIRECT(""Setup!G860"")=True,""Fail"",INDIRECT(""Setup!H860"")=True,""N/A"",INDIRECT(""Setup!I860"")=True,""Retest"")",Add Selected Rhinestone to the sequence,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B861"")=True,""Pass"",INDIRECT(""Setup!C861"")=True,""Fail"",INDIRECT(""Setup!D861"")=True,""N/A"",INDIRECT(""Setup!E861"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F861"")=True,""Pass"",INDIRECT(""Setup!G861"")=True,""Fail"",INDIRECT(""Setup!H861"")=True,""N/A"",INDIRECT(""Setup!I861"")=True,""Retest"")",Delete Selected Rhinestone from the sequence,Designer Edition Plus and above.,,,
,Angle,,,,,,
3,"=IFS(INDIRECT(""Setup!B863"")=True,""Pass"",INDIRECT(""Setup!C863"")=True,""Fail"",INDIRECT(""Setup!D863"")=True,""N/A"",INDIRECT(""Setup!E863"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F863"")=True,""Pass"",INDIRECT(""Setup!G863"")=True,""Fail"",INDIRECT(""Setup!H863"")=True,""N/A"",INDIRECT(""Setup!I863"")=True,""Retest"")",Standard (Upright rhinestones),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B864"")=True,""Pass"",INDIRECT(""Setup!C864"")=True,""Fail"",INDIRECT(""Setup!D864"")=True,""N/A"",INDIRECT(""Setup!E864"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F864"")=True,""Pass"",INDIRECT(""Setup!G864"")=True,""Fail"",INDIRECT(""Setup!H864"")=True,""N/A"",INDIRECT(""Setup!I864"")=True,""Retest"")",Center (rhinestones point to Center),Designer Edition Plus and above. Requires non round rhinestones.,,,
3,"=IFS(INDIRECT(""Setup!B865"")=True,""Pass"",INDIRECT(""Setup!C865"")=True,""Fail"",INDIRECT(""Setup!D865"")=True,""N/A"",INDIRECT(""Setup!E865"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F865"")=True,""Pass"",INDIRECT(""Setup!G865"")=True,""Fail"",INDIRECT(""Setup!H865"")=True,""N/A"",INDIRECT(""Setup!I865"")=True,""Retest"")",Perpendicular (rhinestones align to contour),Designer Edition Plus and above. Requires non round rhinestones.,,,
,Custom Rhinestones,,,,,,
3,"=IFS(INDIRECT(""Setup!B867"")=True,""Pass"",INDIRECT(""Setup!C867"")=True,""Fail"",INDIRECT(""Setup!D867"")=True,""N/A"",INDIRECT(""Setup!E867"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F867"")=True,""Pass"",INDIRECT(""Setup!G867"")=True,""Fail"",INDIRECT(""Setup!H867"")=True,""N/A"",INDIRECT(""Setup!I867"")=True,""Retest"")",Add Selected Shape to Rhinestone Library,"Designer Edition Plus and above. Shape must be 0.472"" x 0.472"" or less.",,,
3,"=IFS(INDIRECT(""Setup!B868"")=True,""Pass"",INDIRECT(""Setup!C868"")=True,""Fail"",INDIRECT(""Setup!D868"")=True,""N/A"",INDIRECT(""Setup!E868"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F868"")=True,""Pass"",INDIRECT(""Setup!G868"")=True,""Fail"",INDIRECT(""Setup!H868"")=True,""N/A"",INDIRECT(""Setup!I868"")=True,""Retest"")",Remove Custom from Rihinestone Library,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B869"")=True,""Pass"",INDIRECT(""Setup!C869"")=True,""Fail"",INDIRECT(""Setup!D869"")=True,""N/A"",INDIRECT(""Setup!E869"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F869"")=True,""Pass"",INDIRECT(""Setup!G869"")=True,""Fail"",INDIRECT(""Setup!H869"")=True,""N/A"",INDIRECT(""Setup!I869"")=True,""Retest"")",Width,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B870"")=True,""Pass"",INDIRECT(""Setup!C870"")=True,""Fail"",INDIRECT(""Setup!D870"")=True,""N/A"",INDIRECT(""Setup!E870"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F870"")=True,""Pass"",INDIRECT(""Setup!G870"")=True,""Fail"",INDIRECT(""Setup!H870"")=True,""N/A"",INDIRECT(""Setup!I870"")=True,""Retest"")",Hight,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B871"")=True,""Pass"",INDIRECT(""Setup!C871"")=True,""Fail"",INDIRECT(""Setup!D871"")=True,""N/A"",INDIRECT(""Setup!E871"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F871"")=True,""Pass"",INDIRECT(""Setup!G871"")=True,""Fail"",INDIRECT(""Setup!H871"")=True,""N/A"",INDIRECT(""Setup!I871"")=True,""Retest"")",Apply User Rhinestone to Edge,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B872"")=True,""Pass"",INDIRECT(""Setup!C872"")=True,""Fail"",INDIRECT(""Setup!D872"")=True,""N/A"",INDIRECT(""Setup!E872"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F872"")=True,""Pass"",INDIRECT(""Setup!G872"")=True,""Fail"",INDIRECT(""Setup!H872"")=True,""N/A"",INDIRECT(""Setup!I872"")=True,""Retest"")",Apply User Rhinestone to Interior (Radial),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B873"")=True,""Pass"",INDIRECT(""Setup!C873"")=True,""Fail"",INDIRECT(""Setup!D873"")=True,""N/A"",INDIRECT(""Setup!E873"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F873"")=True,""Pass"",INDIRECT(""Setup!G873"")=True,""Fail"",INDIRECT(""Setup!H873"")=True,""N/A"",INDIRECT(""Setup!I873"")=True,""Retest"")",Apply User Rhinestone Interior (Linear),Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B874"")=True,""Pass"",INDIRECT(""Setup!C874"")=True,""Fail"",INDIRECT(""Setup!D874"")=True,""N/A"",INDIRECT(""Setup!E874"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F874"")=True,""Pass"",INDIRECT(""Setup!G874"")=True,""Fail"",INDIRECT(""Setup!H874"")=True,""N/A"",INDIRECT(""Setup!I874"")=True,""Retest"")",Single Click User Rhinestones,Designer Edition Plus and above.,,,
,Draw Advanced Rhinestones,,,,,,
3,"=IFS(INDIRECT(""Setup!B876"")=True,""Pass"",INDIRECT(""Setup!C876"")=True,""Fail"",INDIRECT(""Setup!D876"")=True,""N/A"",INDIRECT(""Setup!E876"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F876"")=True,""Pass"",INDIRECT(""Setup!G876"")=True,""Fail"",INDIRECT(""Setup!H876"")=True,""N/A"",INDIRECT(""Setup!I876"")=True,""Retest"")",Single Click,Designer Edition Plus and above.,,,
3,"=IFS(INDIRECT(""Setup!B877"")=True,""Pass"",INDIRECT(""Setup!C877"")=True,""Fail"",INDIRECT(""Setup!D877"")=True,""N/A"",INDIRECT(""Setup!E877"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F877"")=True,""Pass"",INDIRECT(""Setup!G877"")=True,""Fail"",INDIRECT(""Setup!H877"")=True,""N/A"",INDIRECT(""Setup!I877"")=True,""Retest"")",Replace Rhinestones,Designer Edition Plus and above.,,,
,Layers,,,,,,
3,"=IFS(INDIRECT(""Setup!B879"")=True,""Pass"",INDIRECT(""Setup!C879"")=True,""Fail"",INDIRECT(""Setup!D879"")=True,""N/A"",INDIRECT(""Setup!E879"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F879"")=True,""Pass"",INDIRECT(""Setup!G879"")=True,""Fail"",INDIRECT(""Setup!H879"")=True,""N/A"",INDIRECT(""Setup!I879"")=True,""Retest"")",Add a layer,,,,
3,"=IFS(INDIRECT(""Setup!B880"")=True,""Pass"",INDIRECT(""Setup!C880"")=True,""Fail"",INDIRECT(""Setup!D880"")=True,""N/A"",INDIRECT(""Setup!E880"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F880"")=True,""Pass"",INDIRECT(""Setup!G880"")=True,""Fail"",INDIRECT(""Setup!H880"")=True,""N/A"",INDIRECT(""Setup!I880"")=True,""Retest"")",Reorder layers,,,,
3,"=IFS(INDIRECT(""Setup!B881"")=True,""Pass"",INDIRECT(""Setup!C881"")=True,""Fail"",INDIRECT(""Setup!D881"")=True,""N/A"",INDIRECT(""Setup!E881"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F881"")=True,""Pass"",INDIRECT(""Setup!G881"")=True,""Fail"",INDIRECT(""Setup!H881"")=True,""N/A"",INDIRECT(""Setup!I881"")=True,""Retest"")",Rename layer,,,,
3,"=IFS(INDIRECT(""Setup!B882"")=True,""Pass"",INDIRECT(""Setup!C882"")=True,""Fail"",INDIRECT(""Setup!D882"")=True,""N/A"",INDIRECT(""Setup!E882"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F882"")=True,""Pass"",INDIRECT(""Setup!G882"")=True,""Fail"",INDIRECT(""Setup!H882"")=True,""N/A"",INDIRECT(""Setup!I882"")=True,""Retest"")",Lock layer,,,,
