Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win,Mac,Level,Task,Notes,Ticket No.,Win,Mac
"=Switch(INDIRECT(""G826""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H826""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Width (3 inputs),,,,
"=Switch(INDIRECT(""G827""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H827""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Density (3 inputs),,,,
"=Switch(INDIRECT(""G828""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H828""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Splay (3 inputs),,,,
"=Switch(INDIRECT(""G829""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H829""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Fill Effect Scribble,,,,
"=Switch(INDIRECT(""G830""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H830""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Loop Seperation (3 inputs),,,,
"=Switch(INDIRECT(""G831""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H831""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Loop Size (3 inputs),,,,
"=Switch(INDIRECT(""G832""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H832""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Randomness (3 inputs),,,,
"=Switch(INDIRECT(""G833""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H833""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Density (3 inputs),,,,
"=Switch(INDIRECT(""G834""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H834""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Fill Effect Off,,,,
Rhinestones,,,,,,,
Basic Rhinestones,,,,,,,
"=Switch(INDIRECT(""G837""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H837""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,None,,,,
"=Switch(INDIRECT(""G838""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H838""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Edge,,,,
"=Switch(INDIRECT(""G839""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H839""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Linear Fill,,,,
"=Switch(INDIRECT(""G840""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H840""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Radial Fill,,,,
"=Switch(INDIRECT(""G841""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H841""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,6ss,,,,
"=Switch(INDIRECT(""G842""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H842""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,10ss,,,,
"=Switch(INDIRECT(""G843""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H843""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,16ss,,,,
"=Switch(INDIRECT(""G844""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H844""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,20ss,,,,
"=Switch(INDIRECT(""G845""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H845""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rhinestone Spacing (3 inputs),,,,
"=Switch(INDIRECT(""G846""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H846""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Freehand Rhinestones,,,,
"=Switch(INDIRECT(""G847""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H847""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Release Rhinestones,,,,
Advanced Rhinestones,,,,,,,
"=Switch(INDIRECT(""G849""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H849""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Select Rhinestone from Rhinestone Library,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G850""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H850""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply to Edge,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G851""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H851""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Interior (Radial),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G852""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H852""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Interior (Linear),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G853""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H853""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Spacing (3 imputs),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G854""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H854""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Angle offset (3 imputs),Designer Edition Plus and above. Requires non round rhinestones.,,,
"=Switch(INDIRECT(""G855""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H855""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Single,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G856""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H856""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Muiltiple,Designer Edition Plus and above.,,,
Muiltiple Rhinestone Ordering,,,,,,,
"=Switch(INDIRECT(""G858""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H858""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Add Selected Rhinestone to the sequence,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G859""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H859""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Delete Selected Rhinestone from the sequence,Designer Edition Plus and above.,,,
Angle,,,,,,,
"=Switch(INDIRECT(""G861""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H861""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Standard (Upright rhinestones),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G862""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H862""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Center (rhinestones point to Center),Designer Edition Plus and above. Requires non round rhinestones.,,,
"=Switch(INDIRECT(""G863""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H863""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Perpendicular (rhinestones align to contour),Designer Edition Plus and above. Requires non round rhinestones.,,,
Custom Rhinestones,,,,,,,
"=Switch(INDIRECT(""G865""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H865""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Add Selected Shape to Rhinestone Library,"Designer Edition Plus and above. Shape must be 0.472"" x 0.472"" or less.",,,
"=Switch(INDIRECT(""G866""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H866""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Remove Custom from Rihinestone Library,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G867""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H867""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Width,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G868""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H868""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Hight,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G869""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H869""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply User Rhinestone to Edge,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G870""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H870""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply User Rhinestone to Interior (Radial),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G871""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H871""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply User Rhinestone Interior (Linear),Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G872""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H872""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Single Click User Rhinestones,Designer Edition Plus and above.,,,
Draw Advanced Rhinestones,,,,,,,
"=Switch(INDIRECT(""G874""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H874""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Single Click,Designer Edition Plus and above.,,,
"=Switch(INDIRECT(""G875""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H875""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Replace Rhinestones,Designer Edition Plus and above.,,,
Layers,,,,,,,
"=Switch(INDIRECT(""G877""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H877""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Add a layer,,,,
"=Switch(INDIRECT(""G878""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H878""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Reorder layers,,,,
"=Switch(INDIRECT(""G879""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H879""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rename layer,,,,
"=Switch(INDIRECT(""G880""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H880""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Lock layer,,,,
"=Switch(INDIRECT(""G881""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H881""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Hide layer,,,,
"=Switch(INDIRECT(""G882""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H882""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Delete layer,,,,
"=Switch(INDIRECT(""G883""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H883""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut by Layer,,,,
Puzzle,,,,,,,
"=Switch(INDIRECT(""G885""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H885""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Select Puzzle Area,,,,
"=Switch(INDIRECT(""G886""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H886""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Puzzle Selected Shape,,,,
Puzzle Layout,,,,,,,
"=Switch(INDIRECT(""G888""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H888""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rows (3 inputs),,,,
"=Switch(INDIRECT(""G889""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H889""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Columns (3 inputs),,,,
Puzzle Settings,,,,,,,
"=Switch(INDIRECT(""G891""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H891""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Curvature,,,,
"=Switch(INDIRECT(""G892""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H892""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Curve (3 inputs),,,,
"=Switch(INDIRECT(""G893""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H893""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Ripple (3 inputs),,,,
"=Switch(INDIRECT(""G894""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H894""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Wobble (3 inputs),,,,
"=Switch(INDIRECT(""G895""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H895""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Randomize Selected Puzzle,,,,
Warp,,,,,,,
General Warp,,,,,,,
"=Switch(INDIRECT(""G898""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H898""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Warp Selected Shapes,Designer Edition feature.,,,
"=Switch(INDIRECT(""G899""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H899""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Restore Original Shapes,Designer Edition feature.,,,
"=Switch(INDIRECT(""G900""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H900""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Release Warp,Designer Edition feature.,,,
"=Switch(INDIRECT(""G901""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H901""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Release the warp of a raster image,Designer Edition feature.,,,
"=Switch(INDIRECT(""G902""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H902""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Divisions (3 inputs),Designer Edition feature.,,,
"=Switch(INDIRECT(""G903""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H903""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Columns (3 inputs),Designer Edition feature.,,,
"=Switch(INDIRECT(""G904""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H904""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rows (3 inputs),Designer Edition feature.,,,
Warp Templates,,,,,,,
"=Switch(INDIRECT(""G906""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H906""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Warp Templates (All templates),Designer Edition feature.,,,
"=Switch(INDIRECT(""G907""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H907""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Restore Original Shapes,,,,
"=Switch(INDIRECT(""G908""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H908""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Release Warp,,,,
Conical Warp,,,,,,,
"=Switch(INDIRECT(""G910""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H910""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Conical Warp Selected Shape,Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G911""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H911""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Warp Top width (3 inputs),Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G912""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H912""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Warp Bottom width (3 inputs),Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G913""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H913""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Warp height (3 inputs),Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G914""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H914""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Object width (3 inputs),Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G915""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H915""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Object height (3 inputs),Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G916""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H916""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cancel Warp,Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G917""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H917""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Warp,Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G918""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H918""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Apply Warp to raster image,Designer Edition Plus feature.,,,
"=Switch(INDIRECT(""G919""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H919""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Move ALL nodes in the preview,Designer Edition Plus feature.,,,
Business Edition Features,,,,,,,
Business Settings,,,,,,,
"=Switch(INDIRECT(""G922""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H922""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Media Layout view On / Off,Reg Marks must be turned off.,,,
Media Layout Settings,,,,,,,
Media Size,,,,,,,
"=Switch(INDIRECT(""G925""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H925""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Width,,,,
"=Switch(INDIRECT(""G926""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H926""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Height,,,,
"=Switch(INDIRECT(""G927""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H927""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Preset Page Size,Test all sizes,,,
Cutting Mat,,,,,,,
"=Switch(INDIRECT(""G929""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H929""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cutting Mat,Test all mats,,,
"=Switch(INDIRECT(""G930""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H930""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Reveal,,,,
Cut Border,,,,,,,
"=Switch(INDIRECT(""G932""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H932""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut Border Left,,,,
"=Switch(INDIRECT(""G933""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H933""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut Border Top,,,,
"=Switch(INDIRECT(""G934""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H934""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut Border Right,,,,
"=Switch(INDIRECT(""G935""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H935""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Cut Border Bottom,,,,
Orientation,,,,,,,
"=Switch(INDIRECT(""G937""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H937""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rotate Cut Job,,,,
Copies,,,,,,,
Copy,,,,,,,
"=Switch(INDIRECT(""G940""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H940""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Rows,,,,
"=Switch(INDIRECT(""G941""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")","=Switch(INDIRECT(""H941""),""Success"",""Pass"", ""Fail"",""Fail"", ""N/A"",""N/A"", ""To Test"")",3,Columns,,,,
